formation_date,action_date,ts_code,name,final_fate,priority,opportunity_type,selection_reason,strongest_counterevidence,counterevidence_status,resolution_evidence,nearest_comparison,future_hit_20pct_within_20d,first_hit_day,max_close_return_20d,terminal_return_20d
2025-07-09,2025-07-10,002258.SZ,利尔化学,selected,1.000000,company_catalyst,当日首次业绩预告净利润约2.65—2.75亿元、同比约+190.6%；披露前5日仅+1.0%，60日位置74.9%。,形成日刚披露，尚无公告后交易和现金流事实。,unknown,只能把业绩变化视为成立，市场识别要等行动日观察，形成日不能声称已解决。,优于川金诺：披露前涨幅和价格位置更低；优于光迅科技：利润变化幅度和相对材料性更强。,0,,0.117133,0.078671
2025-07-09,2025-07-10,300505.SZ,川金诺,nearest_nonselection,,company_catalyst,同日业绩预告净利润约1.68—1.88亿元、同比约+167.3%，成交活跃。,披露前5日已涨7.5%，60日位置86.9%，且没有公告后交易确认。,unresolved,事件新鲜，但高位置和提前上涨尚未被形成日事实化解。,比P1利尔化学更高、更早上涨；没有足够事实证明剩余路径更大。,0,,0.094547,0.083042
2025-07-09,2025-07-10,002281.SZ,光迅科技,nearest_nonselection,,company_catalyst,首次业绩预告净利润同比约+75%，披露前基本未涨。,形成日尚无公告后交易，且5日相对通信设备落后约2.1个百分点。,unknown,缺少事件后的市场识别，无法证明业绩变化会立即转成价格路径。,相比P1利尔化学，利润变化幅度较低且行业相对价格更弱。,0,,0.112098,0.087563
2025-07-09,2025-07-10,000987.SZ,越秀资本,nearest_nonselection,,sector_diffusion,多元金融连续4日增强，板块5日跑赢市场约5.8个百分点，个股板块内排名91.7%。,个股60日位置已到100%，5日又跑赢板块约8.5个百分点。,unresolved,共同动力存在，但透支反证没有被更低位置或更长剩余路径化解。,相比P1的全新公司事实，这条板块路径更拥挤。,0,,0.020408,-0.047194
2025-08-06,2025-08-07,300750.SZ,宁德时代,selected,1.000000,company_catalyst,财务报告收入+7.3%、利润+33.3%、经营现金流+31.3%；披露前5日-7.0%，披露后+0.7%，60日位置48.6%。,收入增速明显低于利润增速，且5日相对电池行业偏弱。,resolved,利润与经营现金流同向改善、价格位置不高且披露前回落，足以缓解单纯利润质量和透支担忧。,优于顺络电子：价格位置更低、利润和现金流改善规模更大。,0,,0.170245,0.170245
2025-08-06,2025-08-07,002138.SZ,顺络电子,selected,2.000000,company_catalyst,财务报告收入+19.8%、利润+32.0%、经营现金流+21.3%；披露后+1.3%，成交约为此前的1.77倍。,60日位置87.9%，存在接近阶段高位的透支风险。,resolved,披露前5日仅+0.2%、披露后只温和推进，且收入、利润、现金流一致，尚不是事件后加速透支。,虽位置高于P1宁德时代，但质量一致性和初步价格确认优于正丹股份。,1,18,0.237997,0.188946
2025-08-06,2025-08-07,300641.SZ,正丹股份,nearest_nonselection,,company_catalyst,财务报告利润同比约+120%，60日位置39.9%。,披露后下跌2.1%，5日又落后所属行业约4.8个百分点。,unresolved,低位置不能化解事件后没有市场识别的直接反证。,比P2顺络电子缺少公告后的价格推进。,0,,0.073837,-0.015365
2025-08-06,2025-08-07,300916.SZ,朗特智能,nearest_nonselection,,sector_diffusion,消费电子连续4日增强，个股板块内排名96.3%，5日跑赢板块约16.4个百分点。,60日位置100%，个股和板块都已明显上涨。,unresolved,没有更低位置或温和推进事实化解透支。,相较P2顺络电子，板块证据强但剩余价格路径更差。,0,,0.120468,-0.026901
2025-08-06,2025-08-07,301110.SZ,青木科技,nearest_nonselection,,independent_price_anomaly,5日相对行业约+6.4%，价格位置40.7%，成交约为此前2.05倍。,相对增量和斜率明显弱于当日更强独立异常，尚未形成真实突破。,unresolved,低位置存在，但强度不足以支持约20日显著上涨命题。,比P2顺络电子缺少公司变化，也没有更强价格增量。,1,17,0.224943,0.097411
2025-09-03,2025-09-04,002905.SZ,金逸影视,selected,1.000000,company_catalyst,财务报告收入+10.5%、利润+146.7%、经营现金流+84.3%；披露前5日-5.0%，披露后+12.4%，60日位置77.0%。,市场当日和近5日均明显走弱，且事件后已经上涨12.4%。,resolved,收入、利润、现金流一致改善，且弱市中出现公司自身价格推进，能够化解市场逆风；位置仍未到极端高位。,优于中熔电气和先导智能：事件后涨幅与价格位置更低。,1,10,0.334486,-0.132239
2025-09-03,2025-09-04,301031.SZ,中熔电气,nearest_nonselection,,company_catalyst,财务报告收入+41.2%、利润+110.3%、经营现金流+248.6%，基本面很强。,披露后已涨18.5%，60日位置96.3%。,unresolved,基本面不能直接化解剩余价格路径已大幅消耗。,比P1金逸影视更接近透支。,0,,0.089511,0.087732
2025-09-03,2025-09-04,300331.SZ,苏大维格,nearest_nonselection,,independent_price_anomaly,弱市中3日和5日相对行业分别约+28.3%、+31.7%。,60日位置100%，5日累计强势很大且上影频率40%。,unresolved,强势确认充分，但没有形成日事实证明仍有足够剩余路径。,相比P1金逸影视，缺少新的公司变化且价格更透支。,1,10,0.306149,0.149515
2025-09-03,2025-09-04,300450.SZ,先导智能,nearest_nonselection,,company_catalyst,财务报告收入+14.9%、利润+61.2%、现金流+231.3%。,披露前已涨22.1%、披露后再涨23.8%，60日位置100%。,unresolved,公司结果完整，但价格已经充分交易。,相比P1金逸影视，错在剩余路径而不是公司故事。,1,2,0.514611,0.403078
