event_key,formation_date,action_date,ts_code,name,engine_type,return_5d,return_20d,price_location_60d,limit_up_return_contribution_5d,largest_positive_day_contribution_5d,sessions_since_largest_positive_day_5d,return_ex_largest_positive_day_5d,return_after_largest_positive_day_5d,relative_market_after_largest_positive_day_5d,original_decision,revised_price_conclusion,revised_selection_effect,plain_reason
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,000703.SZ,恒逸石化,sector_diffusion,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,601609.SH,金田股份,independent_price_anomaly,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,600408.SH,安泰集团,sector_diffusion,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,002508.SZ,老板电器,sector_diffusion,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-20:600601.SH:selected,2026-08-20,2026-08-21,600601.SH,方正科技,company_catalyst,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-20:603993.SH:selected,2026-08-20,2026-08-21,603993.SH,洛阳钼业,company_catalyst,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-20:603969.SH:selected,2026-08-20,2026-08-21,603969.SH,银龙股份,independent_price_anomaly,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-20:600737.SH:selected,2026-08-20,2026-08-21,600737.SH,中粮糖业,sector_diffusion,,,,,,,,,,legacy_v1_formal,历史V1不重建,legacy_not_rebuilt,旧记录缺少可无损映射的V4命题与时点字段，不事后重建。
formal:2026-08-21:600583.SH:selected,2026-08-21,2026-08-24,600583.SH,海油工程,sector_leader_cluster,0.122935780,0.110707804,0.984495713,0.000000000,0.581627989,3.000000000,0.046456765,0.016611296,0.039235591,historical_formal_selected,确认仍大于追高风险,keep,最大日贡献58.16%，但之后3日仍涨1.66%且跑赢市场3.92个百分点，板块领导关系之外还有后续价格确认。
formal:2026-08-21:600980.SH:selected,2026-08-21,2026-08-24,600980.SH,北矿科技,independent_demand_acceleration,0.052576236,0.188836105,0.700840336,0.000000000,0.448265256,4.000000000,0.018829517,0.018829517,0.044604748,historical_formal_selected,确认仍大于追高风险,keep,最大日贡献44.83%，其后4日复合上涨1.88%并跑赢市场4.46个百分点，强势并非由一天完成。
formal:2026-08-24:000690.SZ:selected,2026-08-24,2026-08-25,000690.SZ,宝新能源,independent_demand_acceleration,0.057082452,0.014198783,0.329192547,0.000000000,0.739704640,0.000000000,0.008456660,,,historical_formal_selected,追高风险已经大于确认,not_yet_formal,最大日贡献73.97%且发生在最后一天；虽其余四日小涨0.85%，但纯价格理由尚无最大日后的普通交易日确认。
formal:2026-08-24:601998.SH:selected,2026-08-24,2026-08-25,601998.SH,中信银行,sector_broad_diffusion,0.113133940,0.110246433,1.000000000,0.000000000,0.412265795,3.000000000,0.065389225,0.049019608,0.054591758,historical_formal_selected,确认仍大于追高风险,keep,最大日贡献41.23%，之后3日复合上涨4.90%并跑赢市场5.46个百分点，板块与个股均有多日延续。
formal:2026-08-25:002366.SZ:selected,2026-08-25,2026-08-26,002366.SZ,融发核电,fresh_event_pending,-0.037351443,-0.013913043,0.392045455,0.000000000,0.616986753,0.000000000,-0.050933786,,,historical_formal_selected,现有事实还无法判断,not_yet_formal,收盘后新事件仍按待确认规则处理；五日整体下跌，最大正日又在最后一天，不能把事件前价格写成事件已获确认。
formal:2026-08-25:002274.SZ:selected,2026-08-25,2026-08-26,002274.SZ,华昌化工,independent_demand_acceleration,0.094754653,0.182815356,1.000000000,0.000000000,0.463121953,1.000000000,0.036011721,0.052032520,0.054463748,historical_formal_selected,确认仍大于追高风险,keep,最大日贡献46.31%，其余四日上涨3.60%，最大日后一日继续上涨5.20%，已有多日独立确认。
formal:2026-08-25:603408.SH:selected,2026-08-25,2026-08-26,603408.SH,建霖家居,independent_demand_acceleration,0.091954023,0.155015198,1.000000000,0.000000000,0.480351563,0.000000000,0.031609195,,,historical_formal_selected,确认仍大于追高风险,keep,最大日贡献48.04%未过半，其余四日复合上涨3.16%；虽最大日在最后一天，但五日上涨并非主要由该日完成。
formal:2026-08-25:300473.SZ:selected,2026-08-25,2026-08-26,300473.SZ,德尔股份,independent_demand_acceleration,0.089499335,0.184489403,0.278416347,0.000000000,0.844795440,1.000000000,-0.025676309,0.003673469,0.006104697,historical_formal_selected,追高风险已经大于确认,not_yet_formal,最大日贡献84.48%，去掉该日其余四日反而下跌2.57%；后一日微涨不能补回缺失的多日基础。
formal:2026-08-26:300107.SZ:selected,2026-08-26,2026-08-27,300107.SZ,建新股份,independent_demand_acceleration,0.099200000,0.102728732,1.000000000,0.000000000,0.492298998,0.000000000,0.038400000,,,historical_formal_selected,确认仍大于追高风险,keep,最大日贡献49.23%未过半，去掉最大日仍上涨3.84%，已有多个交易日共同完成确认。
formal:2026-08-26:301289.SZ:selected,2026-08-26,2026-08-27,301289.SZ,国缆检测,independent_demand_acceleration,0.109382367,0.125837321,0.654381881,0.000000000,0.607629635,0.000000000,0.042197077,,,historical_formal_selected,追高风险已经大于确认,not_yet_formal,最大日贡献60.76%且位于最后一天；虽然其余四日上涨4.22%，纯价格理由仍缺少最大日后的普通交易日验证。
formal:2026-08-26:300082.SZ:selected,2026-08-26,2026-08-27,300082.SZ,奥克股份,independent_demand_acceleration,0.184000000,0.171503958,0.692307692,0.000000000,0.367571903,0.000000000,0.112000000,,,historical_formal_selected,确认仍大于追高风险,lower_priority,最大日贡献36.76%，去掉该日仍上涨11.20%，确认分布多日；但五日已涨18.40%，已付涨幅较多，因此降低优先级。
formal:2026-08-26:603993.SH:selected,2026-08-26,2026-08-27,603993.SH,洛阳钼业,independent_demand_acceleration,0.088333333,0.026729560,0.576131687,0.000000000,0.540365950,0.000000000,0.023333333,,,historical_formal_selected,追高风险已经大于确认,not_yet_formal,最大日贡献54.04%且位于最后一天，纯价格理由没有最大日后的持续性事实，暂不形成正式推荐。
formal:2026-08-27:003816.SZ:selected,2026-08-27,2026-08-28,003816.SZ,中国广核,independent_demand_acceleration,0.080103359,0.004807692,0.663913354,0.000000000,0.527611130,1.000000000,0.033142344,0.009661836,0.001061253,historical_formal_selected,确认仍大于追高风险,keep,最大日贡献52.76%，但后一日继续上涨0.97%、仍略跑赢市场，且其余四日上涨3.31%，单日主导后已有延续。
