formation_date,as_of,action_date,stock_code,stock_name,opportunity_type,type_confidence,priority,frozen_reason,business_link_at_freeze,nearest_alternative,alternative_reason,strongest_counterevidence,key_unknown,action_open_adjusted_index,stock_adjusted_close_path,market_adjusted_close_path,industry_adjusted_close_path,stock_return_pct,max_close_return_pct,sessions,market_benchmark_code,market_return_pct,market_median_return_pct,stock_excess_vs_market_pct,industry_classification,industry_benchmark_code,industry_member_count,industry_return_pct,industry_median_return_pct,industry_excess_vs_market_pct,stock_excess_vs_industry_pct,industry_up_count,industry_breadth_pct,industry_top3_positive_contribution_pct,tradability_or_data_note,review_label,review_summary
2026-08-10,"2026-08-10T23:59:59+08:00",2026-08-11,"002338.SZ","奥普光电","independent_price_anomaly","high",1,"1日+8.20%、5日+17.53%，20日-7.10%、60日位置27.6；5日全涨、平均收盘位置0.85，相对军工电子Ⅱ超额清楚。","冻结记录未使用新公司事件；申万军工电子Ⅱ归属只用于行业比较。","天和防务（同类型）；华友钴业（跨类型）","比天和防务连续性更完整；比华友钴业个股独立增量更清楚。","5日已涨17.53%，且军工电子共同上涨明显。","共同上涨退潮后能否继续保留个股超额。",100.00,"2026-08-11:100.27/+0.27%|2026-08-12:101.85/+1.85%|2026-08-13:99.48/-0.52%|2026-08-14:101.15/+1.15%|2026-08-17:103.63/+3.63%","2026-08-11:99.92/-0.08%|2026-08-12:101.09/+1.09%|2026-08-13:100.00/+0.00%|2026-08-14:100.04/+0.04%|2026-08-17:101.75/+1.75%","2026-08-11:99.80/-0.20%|2026-08-12:100.72/+0.72%|2026-08-13:99.71/-0.29%|2026-08-14:100.37/+0.37%|2026-08-17:102.24/+2.24%",3.63,3.63,5,"LOCAL_ELIGIBLE_A_SHARE_EW",1.75,0.58,1.88,"SW2021 L2 军工电子Ⅱ","801745.SI members EW",40,2.24,2.02,0.49,1.39,32,80.00,22.14,"行动日正常双向交易；日线及复权因子完整。","符合","绝对与相对收益均为正，但个股自身超额温和，共同上涨支持明显。"
2026-08-10,"2026-08-10T23:59:59+08:00",2026-08-11,"603799.SH","华友钴业","sector_diffusion","high",2,"能源金属1/3/5日上涨面均为100%，板块1日+3.86%、5日+13.71%；个股5日+16.46%、成交倍数2.36。","冻结记录以能源金属行业归属和共同表现为核心，未单独展开收入材料性核验。","腾远钴业（同类型）；信音电子（跨类型）","比腾远钴业流动性和成交后的推进效率更好；信音电子缺少足够价格确认。","板块和个股均已明显上涨，并受商品价格敏感性与质押事实影响。","板块扩散能否跨过行动日继续。",100.00,"2026-08-11:96.50/-3.50%|2026-08-12:95.97/-4.03%|2026-08-13:93.30/-6.70%|2026-08-14:93.69/-6.31%|2026-08-17:95.27/-4.73%","2026-08-11:99.92/-0.08%|2026-08-12:101.09/+1.09%|2026-08-13:100.00/+0.00%|2026-08-14:100.04/+0.04%|2026-08-17:101.75/+1.75%","2026-08-11:98.13/-1.87%|2026-08-12:99.09/-0.91%|2026-08-13:97.92/-2.08%|2026-08-14:98.75/-1.25%|2026-08-17:99.72/-0.28%",-4.73,-3.50,5,"LOCAL_ELIGIBLE_A_SHARE_EW",1.75,0.58,-6.49,"SW2021 L2 能源金属","801056.SI members EW",11,-0.28,0.26,-2.03,-4.45,6,54.55,77.03,"行动日正常双向交易；日线和复权因子完整。","不符合","能源金属行动日即转弱，个股还显著弱于行业。"
2026-08-11,"2026-08-11T23:59:59+08:00",2026-08-12,"301183.SZ","东田微","independent_price_anomaly","high",1,"1日+6.33%、5日+19.12%，20日-9.89%、60日位置42.0；5日全涨且相对光学光电子超额显著。","冻结记录未使用新公司催化；申万光学光电子归属只作行业比较。","田中精机（同类型）；阳光电源（跨类型）","比田中精机连续性更强；比阳光电源剩余价格路径更干净。","连续上涨已经接近短期透支。","没有新公司变化时独立强势能否延续。",100.00,"2026-08-12:106.09/+6.09%|2026-08-13:104.10/+4.10%|2026-08-14:108.58/+8.58%|2026-08-17:114.02/+14.02%","2026-08-12:101.20/+1.20%|2026-08-13:100.10/+0.10%|2026-08-14:100.15/+0.15%|2026-08-17:101.86/+1.86%","2026-08-12:102.00/+2.00%|2026-08-13:100.35/+0.35%|2026-08-14:102.01/+2.01%|2026-08-17:104.98/+4.98%",14.02,14.02,4,"LOCAL_ELIGIBLE_A_SHARE_EW",1.86,0.87,12.16,"SW2021 L2 光学光电子","801084.SI members EW",76,4.98,3.57,3.12,9.04,67,88.16,19.36,"行动日正常双向交易；日线和复权因子完整。","明显符合","行业有帮助，但个股仍跑赢行业9.04个百分点，独立增量清楚。"
2026-08-11,"2026-08-11T23:59:59+08:00",2026-08-12,"300461.SZ","田中精机","independent_price_anomaly","medium-high",2,"1日+10.92%、5日+17.16%，成交倍数3.13、60日位置33.6；相对自动化设备1日和5日超额明显。","冻结记录未使用新公司催化。","麦捷科技（同类型）；东田微（最终上位替代）","比麦捷科技独立贡献更突出，但走势更依赖最后一日且流动性弱于东田微。","最后一日贡献过大，且流动性较弱。","放量后能否继续产生价格推进。",100.00,"2026-08-12:95.20/-4.80%|2026-08-13:94.45/-5.55%|2026-08-14:96.34/-3.66%|2026-08-17:92.62/-7.38%","2026-08-12:101.20/+1.20%|2026-08-13:100.10/+0.10%|2026-08-14:100.15/+0.15%|2026-08-17:101.86/+1.86%","2026-08-12:101.44/+1.44%|2026-08-13:99.85/-0.15%|2026-08-14:100.99/+0.99%|2026-08-17:103.26/+3.26%",-7.38,-3.66,4,"LOCAL_ELIGIBLE_A_SHARE_EW",1.86,0.87,-9.24,"SW2021 L2 自动化设备","801078.SI members EW",51,3.26,2.43,1.40,-10.65,38,74.51,18.80,"行动日正常双向交易；日线和复权因子完整。","不符合","市场和行业上涨时个股明显下跌，独立信号反转。"
2026-08-11,"2026-08-11T23:59:59+08:00",2026-08-12,"300274.SZ","阳光电源","company_catalyst","medium",3,"7月21日提出回购、8月3日形成正式方案、8月7日首次实施；正式方案后+15.74%，首次实施后+5.18%，60日位置20.9。","回购是明确公司行为；首次实施471800股、约5000万元，但10亿元计划约占当时约2490亿元市值的0.4%。","同阶段公司催化无更强替代；东田微和田中精机（跨类型）","同类没有同时具备明确阶段和价格确认的更强候选；跨类型候选独立价格增量更强，因此排在其后。","回购材料性有限，事件已经交易数日。","后续实施节奏能否继续改变预期。",100.00,"2026-08-12:97.21/-2.79%|2026-08-13:97.71/-2.29%|2026-08-14:96.54/-3.46%|2026-08-17:98.26/-1.74%","2026-08-12:101.20/+1.20%|2026-08-13:100.10/+0.10%|2026-08-14:100.15/+0.15%|2026-08-17:101.86/+1.86%","2026-08-12:102.70/+2.70%|2026-08-13:100.02/+0.02%|2026-08-14:100.04/+0.04%|2026-08-17:102.84/+2.84%",-1.74,-1.74,4,"LOCAL_ELIGIBLE_A_SHARE_EW",1.86,0.87,-3.60,"SW2021 L2 光伏设备","801735.SI members EW",44,2.84,1.11,0.98,-4.58,33,75.00,40.08,"行动日正常双向交易；日线和复权因子完整。","不符合","市场和行业均上涨，回购故事没有转化为截至8月17日的价格增量。"
2026-08-12,"2026-08-12T23:59:59+08:00",2026-08-13,"001979.SZ","招商蛇口","sector_diffusion","high",1,"房地产开发1日上涨面97.6%、3日和5日上涨面95.1%；个股1日+5.26%、5日+10.61%，成交倍数1.66。","冻结记录以申万房地产开发成员身份验证共同动力，未展开收入结构核验。","华发股份、金融街、保利发展（同类型）；佳缘科技（跨类型）","强度、流动性和参与性优于同板块替代；比佳缘科技拥有更广的共同证据。","房地产连续上涨且高度依赖政策预期。","高广度能否继续而不是形成日见顶。",100.00,"2026-08-13:100.40/+0.40%|2026-08-14:100.13/+0.13%|2026-08-17:99.34/-0.66%","2026-08-13:98.66/-1.34%|2026-08-14:98.69/-1.31%|2026-08-17:100.36/+0.36%","2026-08-13:97.43/-2.57%|2026-08-14:96.33/-3.67%|2026-08-17:96.91/-3.09%",-0.66,0.40,3,"LOCAL_ELIGIBLE_A_SHARE_EW",0.36,-0.25,-1.02,"SW2021 L2 房地产开发","801181.SI members EW",75,-3.09,-3.41,-3.45,2.43,7,9.33,62.52,"行动日正常双向交易；日线和复权因子完整。","部分符合","个股比崩落的行业抗跌，但板块扩散命题本身失败。"
2026-08-12,"2026-08-12T23:59:59+08:00",2026-08-13,"301117.SZ","佳缘科技","independent_price_anomaly","medium-high",2,"1日+6.06%、5日+14.01%，成交倍数1.96、60日位置35.6；同期计算机设备1日+0.81%、5日+1.21%。","冻结记录没有新公司事件支持。","菲利华、英唐智控（同类型）；招商蛇口（跨类型）","相对强度优于菲利华和英唐智控；但板块共同证据弱于招商蛇口。","流动性有限，独立信号缺少公司事实。","相对强势能否在市场转弱时维持。",100.00,"2026-08-13:95.12/-4.88%|2026-08-14:91.40/-8.60%|2026-08-17:93.33/-6.67%","2026-08-13:98.66/-1.34%|2026-08-14:98.69/-1.31%|2026-08-17:100.36/+0.36%","2026-08-13:98.13/-1.87%|2026-08-14:98.30/-1.70%|2026-08-17:100.09/+0.09%",-6.67,-4.88,3,"LOCAL_ELIGIBLE_A_SHARE_EW",0.36,-0.25,-7.03,"SW2021 L2 计算机设备","801101.SI members EW",70,0.09,-0.55,-0.27,-6.75,30,42.86,27.58,"行动日正常双向交易；日线和复权因子完整。","不符合","市场和行业基本稳定，个股自身明显反转。"
2026-08-13,"2026-08-13T23:59:59+08:00",2026-08-14,"300120.SZ","经纬辉开","independent_price_anomaly","medium-high",1,"弱市中1日+9.04%、3日+12.21%、5日+13.20%，成交倍数2.37、60日位置32.0，相对市场和光学光电子均显著增强。","7月31日收购进展已偏旧，冻结记录没有把它作为主要催化。","梅雁吉祥（同类型）；协创数据（跨类型）","比梅雁吉祥20日延伸更低、剩余位置更好；协创数据缺少结构化公司结果。","形成日单日贡献较大，且没有新公司变化支持。","强势是否只是一次性跳升。",100.00,"2026-08-14:119.48/+19.48%|2026-08-17:123.23/+23.23%","2026-08-14:99.93/-0.07%|2026-08-17:101.63/+1.63%","2026-08-14:101.19/+1.19%|2026-08-17:104.13/+4.13%",23.23,23.23,2,"LOCAL_ELIGIBLE_A_SHARE_EW",1.63,1.08,21.60,"SW2021 L2 光学光电子","801084.SI members EW",76,4.13,3.30,2.50,19.10,67,88.16,15.91,"行动日正常双向交易；日线和复权因子完整。","明显符合","唯一达到20%目标，且大幅跑赢普涨市场和行业。"
2026-08-13,"2026-08-13T23:59:59+08:00",2026-08-14,"600868.SH","梅雁吉祥","independent_price_anomaly","medium",2,"1日+9.47%、5日+12.23%，4/5日上涨、平均收盘位置0.80，明显强于同期电力行业。","2026年上半年业绩预告仍亏损约220万元，只是亏损收窄。","立昂技术（同类型）；协创数据（跨类型）","比立昂技术连续性更好且监管反证更少；协创数据缺少结构化半年报数字。","价格与亏损基本面脱节，并有应收和减值风险。","独立强势能否抵消亏损事实。",100.00,"2026-08-14:94.30/-5.70%|2026-08-17:94.30/-5.70%","2026-08-14:99.93/-0.07%|2026-08-17:101.63/+1.63%","2026-08-14:97.53/-2.47%|2026-08-17:97.82/-2.18%",-5.70,-5.70,2,"LOCAL_ELIGIBLE_A_SHARE_EW",1.63,1.08,-7.33,"SW2021 L2 电力","801161.SI members EW",109,-2.18,-1.69,-3.81,-3.53,15,13.76,46.07,"行动日正常开盘，收盘跌停；日线和复权因子完整。","不符合","亏损反证兑现，行动日正常开盘后收于跌停。"
2026-08-14,"2026-08-14T23:59:59+08:00",2026-08-17,"301489.SZ","思泉新材","sector_diffusion","high",1,"电子化学品Ⅱ1日+3.98%、上涨面97.2%，3日上涨面83.3%、5日上涨面66.7%；个股1日+14.96%、5日+16.88%。","冻结记录以申万电子化学品Ⅱ成员身份验证共同动力，未展开主营收入材料性。","中石科技（同类型）；弘景光电（跨类型）","比中石科技行动日可参与性更好、短期延伸更低；比弘景光电拥有更宽的板块共同证据。","形成日已大涨，短期热度较高。","行动日能否继续超过强板块而不是回吐。",100.00,"2026-08-17:99.67/-0.33%","2026-08-17:101.52/+1.52%","2026-08-17:104.07/+4.07%",-0.33,-0.33,1,"LOCAL_ELIGIBLE_A_SHARE_EW",1.52,1.16,-1.85,"SW2021 L2 电子化学品Ⅱ","801086.SI members EW",21,4.07,3.86,2.55,-4.40,20,95.24,29.03,"行动日正常双向交易；仅有1个交易日结果。","部分符合","行业方向非常强，但具体股票明显落后。"
