hypothesis,subtest,segment,group,candidates,dates,hits,failures,candidate_hit_rate,date_equal_hit_rate,failures_excluded,winners_lost,candidate_reduction,date_pair_dates,date_pair_better,date_pair_worse,date_pair_ties,date_pair_score,conclusion,scope_note
scope,eligible_current_surface,development,all_types,8483,35,1653,6830,0.19486,0.209631,,,,,,,,,scope_corrected,"ST *ST and delisting names excluded; fixed research surfaces are not historical AI final picks"
scope,eligible_current_surface,validation,all_types,3491,16,937,2554,0.268404,0.268808,,,,,,,,,scope_corrected,"ST *ST and delisting names excluded; fixed research surfaces are not historical AI final picks"
H1,narrow_counter_proxy,development,independent_baseline,1860,35,411,1449,0.220968,0.230022,,,,,,,,,evidence_insufficient_narrow_support,"No historical priority 1-3 or resolved-counter state exists"
H1,narrow_counter_proxy,development,kept_without_proxy_counter,1124,,267,857,0.237544,0.250434,592,144,0.395699,,,,,,evidence_insufficient_narrow_support,"Proxy combines last-day pulse low price-progress efficiency and covered fresh negative facts"
H1,narrow_counter_proxy,development,proxy_counter_present,736,,144,592,0.195652,0.205152,,,,,,,,,evidence_insufficient_narrow_support,"Cannot be treated as unresolved AI counterevidence or a hard exclusion"
H1,narrow_counter_proxy,validation,independent_baseline,725,16,221,504,0.304828,0.306620,,,,,,,,,evidence_insufficient_narrow_support,"No historical priority 1-3 or resolved-counter state exists"
H1,narrow_counter_proxy,validation,kept_without_proxy_counter,526,,177,349,0.336502,0.352173,155,44,0.274483,,,,,,evidence_insufficient_narrow_support,"Proxy improves both rate views but loses 44 winners"
H1,narrow_counter_proxy,validation,proxy_counter_present,199,,44,155,0.221106,0.238906,,,,,,,,,evidence_insufficient_narrow_support,"Cannot be treated as unresolved AI counterevidence or a hard exclusion"
H2,sector_continuity_vs_pulse,development,sector_baseline,1858,32,400,1458,0.215285,0.236735,,,,,,,,,unsupported,"Existing sector surface after eligibility correction"
H2,sector_continuity_vs_pulse,development,sustained,333,28,59,274,0.177177,0.183749,,,,23,5,12,6,0.347826,unsupported,"Same-date score counts ties as one half"
H2,sector_continuity_vs_pulse,development,formation_day_pulse,142,25,36,106,0.253521,0.215549,,,,,,,,,unsupported,"Pulse outperforms sustained on candidate hit rate"
H2,sector_continuity_vs_pulse,development,after_excluding_pulse,1716,32,364,1352,0.212121,0.230578,106,36,0.076426,,,,,,unsupported,"Exclusion lowers hit rate and loses 36 winners"
H2,sector_continuity_vs_pulse,validation,sector_baseline,1001,12,259,742,0.258741,0.176827,,,,,,,,,unsupported,"Existing sector surface after eligibility correction"
H2,sector_continuity_vs_pulse,validation,sustained,221,12,65,156,0.294118,0.225844,,,,10,2,6,2,0.300000,unsupported,"Same-date score counts ties as one half"
H2,sector_continuity_vs_pulse,validation,formation_day_pulse,99,10,33,66,0.333333,0.345227,,,,,,,,,unsupported,"Pulse outperforms sustained on both rate views"
H2,sector_continuity_vs_pulse,validation,after_excluding_pulse,902,12,226,676,0.250554,0.166730,66,33,0.098901,,,,,,unsupported,"Exclusion lowers hit rate and loses 33 winners"
H3A,independent_last_day_pulse,development,independent_baseline,1860,35,411,1449,0.220968,0.230022,,,,,,,,,supported_as_comparison_not_gate,"Existing independent surface after eligibility correction"
H3A,independent_last_day_pulse,development,gradual_progression,1502,35,342,1160,0.227696,0.237575,,,,35,24,10,1,0.700000,supported_as_comparison_not_gate,"Prefer only when other evidence is comparable"
H3A,independent_last_day_pulse,development,last_day_pulse,357,35,69,288,0.193277,0.210341,,,,,,,,,supported_as_comparison_not_gate,"Pulse still contains 69 winners"
H3A,independent_last_day_pulse,development,after_excluding_pulse,1503,35,342,1161,0.227545,0.237349,288,69,0.191935,,,,,,supported_as_comparison_not_gate,"Rate improvement is modest and winner loss is material"
H3A,independent_last_day_pulse,validation,independent_baseline,725,16,221,504,0.304828,0.306620,,,,,,,,,supported_as_comparison_not_gate,"Existing independent surface after eligibility correction"
H3A,independent_last_day_pulse,validation,gradual_progression,635,16,200,435,0.314961,0.322431,,,,16,10,5,1,0.656250,supported_as_comparison_not_gate,"Direction persists in held-out period"
H3A,independent_last_day_pulse,validation,last_day_pulse,90,16,21,69,0.233333,0.236471,,,,,,,,,supported_as_comparison_not_gate,"Pulse still contains 21 winners"
H3A,independent_last_day_pulse,validation,after_excluding_pulse,635,16,200,435,0.314961,0.322431,69,21,0.124138,,,,,,supported_as_comparison_not_gate,"Do not convert into a hard exclusion"
H3B,broad_market_pseudo_independence,development,weak_or_divergent_market,831,17,194,637,0.233454,0.229970,,,,,,,,,unsupported,"Market state uses formation-date eligible cross-section only"
H3B,broad_market_pseudo_independence,development,middle_market,583,11,136,447,0.233276,0.245148,,,,,,,,,unsupported,"Market state uses formation-date eligible cross-section only"
H3B,broad_market_pseudo_independence,development,broad_rally,446,7,81,365,0.181614,0.206376,,,,,,,,,unsupported,"Development weakness does not persist in validation"
