evidence_id,source_title,source_owner,source_type,evidence_level,url,published_at,known_at,observed_at,point_in_time_status,claim,support_scope,exclusion,related_node_ids,related_entity_names,geography,status,conflict_ids,review_due,notes
EV001,Microsoft FY2026 Q3 Earnings Conference Call,Microsoft,investor_relations,A,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,2026-04-29,2026-04-29,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"Microsoft reported $31.9B quarterly capex, roughly two-thirds for short-lived assets mainly GPUs/CPUs, and expected about $190B 2026 capex while remaining capacity constrained through 2026.",Confirms a large final payer is continuing AI infrastructure investment and that capacity remains constrained.,"Does not prove a particular liquid-cooling component supplier, margin, or order allocation.","N01,N02,N03,N08,N17,N19",Microsoft,global,active,,2026-11-30,
EV002,Alphabet 2025 Q4 Earnings Call,Alphabet,investor_relations,A,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,2026-02-04,2026-02-04,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Alphabet anticipated 2026 capex of $175B-$185B to meet customer demand and scale AI infrastructure.,Confirms hyperscaler capital spending and infrastructure demand.,Does not allocate spend to liquid cooling or prove any supplier relationship.,"N01,N02,N03,N08,N17,N19","Alphabet,Google",global,active,,2026-11-30,
EV003,Amazon Announces Fourth Quarter 2025 Results,Amazon,investor_relations,A,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/default.aspx,2026-02-05,2026-02-05,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"Amazon expected about $200B of 2026 capex across Amazon, citing AI and chips among major opportunities.",Confirms a hyperscaler final payer continues very large infrastructure investment.,Does not prove the cooling share of capex or any supplier relationship.,"N01,N02,N03,N08,N17,N19","Amazon,AWS",global,active,,2026-11-30,
EV004,NVIDIA Contributes Blackwell Platform Design to Open Hardware Ecosystem,NVIDIA,official_press_release,A,https://nvidianews.nvidia.com/news/nvidia-contributes-blackwell-platform-design-to-open-hardware-ecosystem-accelerating-ai-infrastructure-innovation/,2024-10-15,2024-10-15,2026-08-28T00:30:00+08:00,confirmed_before_as_of,NVIDIA contributed GB200 NVL72 rack architecture and liquid-cooling/thermal specifications to OCP; GB200 NVL72 is a rack-scale liquid-cooled system with 36 Grace CPUs and 72 Blackwell GPUs.,Confirms high-density AI rack architecture is explicitly liquid-cooled and that platform owners influence interfaces/specifications.,Does not prove every AI rack must use the same route or identify downstream suppliers.,"N01,N02,N03,N04,N05,N08,N23","NVIDIA,OCP",global,active,,2026-11-30,
EV005,Enabling 1 MW IT racks and liquid cooling at OCP EMEA Summit,Google Cloud,engineering_blog,A,https://cloud.google.com/blog/topics/systems/enabling-1-mw-it-racks-and-liquid-cooling-at-ocp-emea-summit,2025-04-29,2025-04-29,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"Google stated it had deployed liquid cooling at gigawatt scale across more than 2,000 TPU Pods and described in-row CDUs, manifolds, flexible hoses and cold plates.",Confirms large-scale operational deployment and customer-designed architecture; supports the full loop from CDU to cold plate.,Does not prove open-market supplier shares or transferability to all customers.,"N02,N03,N04,N05,N08,N23,N31",Google,global,active,,2026-11-30,
EV006,Introducing Brazos: Bringing liquid cooling to air-cooled data centers,Google Cloud,engineering_blog,A,https://cloud.google.com/blog/topics/systems/brazos-liquid-cooling-system-for-air-cooled-data-centers/,2026-06-16,2026-06-16,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"Google introduced a rack-mounted liquid-to-air closed-loop system for one-rack-at-a-time retrofits, with three cooling units, integrated manifolds, 60 kW nominal rack load, leak detection and Modbus management.",Confirms a customer-designed hybrid retrofit route and demonstrates that facility constraints can shift value toward rack-level integration.,"Does not establish broad adoption, third-party sales scale, or superiority over facility-water DTC.","N05,N07,N08,N17,N20,N23,N28,N31","Google,Brazos",global,active,,2026-11-30,
EV007,Meta’s open AI hardware vision,Meta,engineering_blog,A,https://engineering.fb.com/2024/10/15/data-infrastructure/metas-open-ai-hardware-vision/,2024-10-15,2024-10-15,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"Meta described a fully liquid-cooled Catalina rack solution with integrated power, compute, switch, rack and management elements, contributed through open hardware.","Confirms large customers can define and open their own rack architecture, affecting supplier interfaces and qualification.",Does not prove a specific component vendor or the commercial route outside Meta.,"N02,N03,N04,N05,N08,N23,N31",Meta,global,active,,2026-11-30,
EV008,Cooling Environments Project,Open Compute Project,standard_organization,A,https://www.opencompute.org/projects/cooling-environments,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"OCP maintains workstreams for cold plates, CDUs, immersion, door heat exchangers, facilities and heat reuse.","Supports the seven-view conclusion that liquid cooling is a multi-route system, not a single component chain.",An OCP workstream does not prove commercial orders or supplier share.,"N02,N08,N20,N21,N32,N33,N34,N35",OCP,global,active,,2026-11-30,Undated live project page; A2 should archive/confirm point-in-time availability.
EV009,Coolant Distribution Unit Sub-Project,Open Compute Project,standard_organization,A,https://www.opencompute.org/community/coolant-distribution-unit,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"OCP CDU sub-project focuses on integrating advanced cooling into new and existing data centers via liquid distribution, guidance and reference designs.",Supports CDU as an independent system node bridging facility and technology loops.,Does not prove a single standard or dominant supplier.,"N08,N09,N10,N11,N12,N13,N17,N23",OCP,global,active,,2026-11-30,Undated live project page; A2 should archive/confirm point-in-time availability.
EV010,CEJN Universal Quick Disconnect (UQD),Open Compute Project / CEJN,standard_product_directory,A,https://www.opencompute.org/products/340/cejn-universal-quick-disconnect-uqd,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"OCP UQD defines interface dimensions and performance for hand-connectable, drip-minimizing connectors in technology cooling systems.","Confirms interface standardization, hot-serviceability and sealing are key requirements.","Directory inclusion proves standard-compliant product capability, not customer orders or market share.",N04,"CEJN,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV011,Stäubli Universal Quick Disconnect (UQD),Open Compute Project / Stäubli,standard_product_directory,A,https://www.opencompute.org/products/543/staubli-universal-quick-disconnect-uqd,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Stäubli offers an OCP UQD designed for multisourcing and liquid-cooled data centers.,Confirms multiple qualified suppliers exist and standardization can reduce single-vendor lock-in.,"Does not prove customer qualification, volume or price.",N04,"Stäubli,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
