event_key,run_id,formation_date,action_date,selection_as_of,trace_version,priority,ts_code,name,opportunity_type,selection_reason,strongest_counterevidence,nearest_comparison,formal_reason_source,trace_log_text_match,trace_selection_reason,trace_strongest_counterevidence,trace_nearest_comparison,current_day_at_export,current_close_return_at_export,max_close_return_so_far_at_export,hit_20pct_close_within_20d_at_export,first_hit_day_at_export,terminal_return_20d_at_export,validation_mode,outcome_through_date,outcome_trading_day_count,outcome_data_status,outcome_close_return,outcome_max_close_return,outcome_max_high_return,outcome_mae,outcome_close_drawdown_from_peak
formal:2026-08-19:000703.SZ:selected,formal:2026-08-19:2026-08-20,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,legacy-selection-v1,1,000703.SZ,恒逸石化,sector_diffusion,炼油化工在全市场等权下跌3.91%的形成日仍实现等权上涨3.04%、上涨面70%，3日等权上涨5.63%、上涨面90%，属于逆市多成员共同增强。个股当日上涨9.22%，成交额约为20日均值2.25倍，收19.08元、接近日高19.22元；半年报归母净利润同比增长约2500.73%，文莱炼厂和聚酯链盈利改善与板块传导真实相连。价格确认使其优先于仅有行业防御或仅有公司故事的候选。,当日已上涨9.22%、60日价格位置接近100%，行动日若明显高开或成交放大却不能继续推动收盘，剩余路径会迅速收窄；半年报经营现金流同比下降168.78%，资产负债率约67.57%，景气改善并非没有财务反证。,同类型最接近恒力石化：二者都获得炼油化工广度确认，但恒逸石化形成日涨幅9.22%高于恒力石化5.01%，且已有半年报利润增量与文莱炼厂因果链；跨类型相比金田股份，恒逸同时具备板块扩散、公司传导和价格确认，而非主要依赖单股量价。,forward-selection-log,False,全市场等权下跌3.91%、上涨面仅8.77%时，炼油化工仍等权上涨3.04%、上涨面70%，3日上涨5.63%、上涨面90%。公司2026年半年报归母净利润同比增长2500.73%，文莱炼厂、己内酰胺项目与聚酯链盈利改善提供真实业务传导。形成日上涨9.22%、相对市场多12.12个百分点，成交额为20日均值2.25倍，收19.08元且接近日高19.22元。完整技术场景命中既有趋势延续：EMA20距离为+14.16%，ADX14为29.79，+DI显著高于-DI；该场景只作增强，因为历史上D20收盘并未同步改善且MAE略差。,20日已上涨25.86%，60日位置为100%，距此前250日高点仅约1.14%；BOLL百分位已越过上轨而MACD柱近5日变化转弱。半年报经营现金流同比下降168.78%，资产负债率67.57%。若行动日明显高开、无正常双向成交，或放量不能继续推动收盘，则不参与。,恒力石化同属炼油化工且也命中既有趋势延续，但形成日仅涨5.01%、5日涨6.25%、20日涨15.00%，相对价格增量均弱于恒逸；两者长期位置都接近高位，恒逸另有更明确的半年报因果链，故优先恒逸。,,,,,,,selection,2026-08-31,8,available,0.010351966873705987,0.07660455486542439,0.08436853002070377,-0.08281573498964812,-0.06153846153846154
formal:2026-08-19:601609.SH:selected,formal:2026-08-19:2026-08-20,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,legacy-selection-v1,2,601609.SH,金田股份,independent_price_anomaly,形成日上涨8.37%，相对全市场多出约11.27个百分点，成交额约为20日均值5.32倍；收12.95元、接近日高13.15元，放量仍有效推进收盘。同期披露的半年报收入同比增长33.74%、归母净利润增长18.44%，但公司事实仅作增强，真正改变取舍的是在极弱市场中仍保持的独立价格增量和充足流动性。,近5日已上涨27.09%、20日上涨34.62%，价格并不低；半年报扣非净利润同比下降15.22%、经营现金流同比下降352.88%，说明利润质量存在反证。若行动日高开后不能维持接近日内高位的收盘推进，则不参与。,同类型最接近骏成科技：骏成科技涨停和重组事件更强，但近5日上涨46.94%、20日上涨71.53%且形成日收于20%涨停，行动日正常参与和剩余路径明显更差；跨类型相比安泰集团，金田股份的绝对相对强度、成交确认和流动性更强，因此优先。,forward-selection-log,False,形成日上涨8.37%、相对市场多11.27个百分点，成交额为20日均值5.32倍，收12.95元、接近日高13.15元，在极弱市场中仍有独立量价推进。2026年半年报收入同比增长33.74%、归母净利润增长18.44%，公司铜加工与新能源、电力等用途联系真实。完整技术场景命中既有趋势延续，并落在失败突破、趋势衰竭、单日脉冲和量价背离的健康对照组；EMA20距离+20.23%、+DI显著高于-DI，说明不是横盘噪声中的孤立金叉。,5日已上涨27.09%、20日上涨34.62%，RSI14为73.15、BOLL百分位1.25且带宽快速扩张，短线已经明显延伸。半年报扣非净利润同比下降15.22%、经营现金流同比下降352.88%、资产负债率68.67%。若行动日高开后不能维持接近日内高位的收盘推进，则不参与。,同为独立强势线索的骏成科技，事件和即时强度更高，但5日涨46.94%、20日涨71.53%，形成日收于20%涨停；金田股份虽也偏热，却仍有正常成交、非涨停收盘和更低的路径透支，因此优先。,,,,,,,selection,2026-08-31,8,available,0.05144193296960253,0.05144193296960253,0.06313328137178487,-0.03273577552611062,0.0
formal:2026-08-19:600408.SH:selected,formal:2026-08-19:2026-08-20,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,legacy-selection-v1,3,600408.SH,安泰集团,sector_diffusion,焦炭板块形成日7只中6只上涨，等权上涨6.20%、上涨面85.71%，并有3只涨停，3日和5日也保持正收益与较高上涨面。安泰集团当日上涨7.32%，成交额约为20日均值3.78倍，收3.08元、日高3.15元；相比封板龙头，其60日价格位置约58.54%、近5日仅上涨6.57%，当前确认与剩余路径更均衡。,公司预计2026年上半年归母净利润亏损约7500万元，钢铁焦化行业毛利仍不足以覆盖期间费用；板块强势也可能只是大跌日的短期资金轮动。行动日若板块广度消失或个股放量不涨，应立即放弃。,同类型最接近宝泰隆、陕西黑猫和美锦能源均在形成日涨停，当前强度更高但行动日可参与性更差；安泰集团比山西焦化的形成日推进更强，又没有封板后的路径约束。跨类型相比老板电器，焦炭的形成日等权涨幅和上涨面更强，因此排在其前。,forward-selection-log,False,焦炭板块7只中6只上涨，等权上涨6.20%、上涨面85.71%，3日上涨6.90%、上涨面85.71%，并有3只涨停，属于真实多成员扩散。安泰集团形成日涨7.32%、相对市场多10.22个百分点，成交额为20日均值3.78倍，收3.08元、日高3.15元；5日仅涨6.57%、60日位置58.54%，比封板同业保留更多路径。完整技术场景命中既有趋势延续，EMA20距离+10.71%、ADX14为26.80、+DI显著高于-DI，确认趋势存在但未把指标当作推荐来源。,公司预计2026年上半年归母净利润仍亏损约7500万元，焦化和钢铁业务毛利不足以覆盖期间费用，最新资产负债率约70.77%。MACD柱近5日变化和BOLL带宽变化均略走弱，趋势并未持续加速。若行动日焦炭板块广度消失或个股放量不涨，则放弃。,宝泰隆、陕西黑猫和美锦能源形成日均封涨停，当前强度更高但正常参与性更差；山西焦化只涨4.18%，推进又弱于安泰。安泰在趋势确认、非涨停成交和较低长期位置之间更均衡。,,,,,,,selection,2026-08-31,8,available,0.08771929824561409,0.08771929824561409,0.10175438596491237,-0.05263157894736836,0.0
formal:2026-08-19:002508.SZ:selected,formal:2026-08-19:2026-08-20,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,legacy-selection-v1,4,002508.SZ,老板电器,sector_diffusion,厨卫电器形成日等权上涨4.57%、上涨面77.78%，3日上涨面仍为77.78%，不是单股孤立上涨。老板电器当日上涨4.32%，成交额约为20日均值2.11倍，收16.43元、接近日高16.58元；近5日仅上涨2.43%、20日上涨5.66%，价格组合显示板块确认已经出现但个股尚未像亿田智能、万和电气那样封板和明显延伸。,2026年一季度收入同比下降5.46%、归母净利润下降9.82%、扣非净利润下降17.47%，经营现金流也明显走弱；板块正贡献仍较多集中在少数大涨股。若行动日无法继续体现多成员扩散，低延伸本身不能成为入选理由。,同类型最接近亿田智能和万和电气：两者形成日强度更高但均收于涨停，累计延伸和行动日参与风险更大；老板电器的流动性、非涨停确认和剩余路径更均衡。跨类型相比最后落选的骏成科技，老板电器绝对涨幅较弱，但板块广度更真实且行动日正常参与条件更好。,forward-selection-log,False,厨卫电器形成日等权上涨4.57%、上涨面77.78%，3日上涨面仍为77.78%，不是单股孤立上涨。老板电器形成日涨4.32%、相对市场多7.22个百分点，成交额为20日均值2.11倍，收16.43元、接近日高16.58元；5日仅涨2.43%、20日涨5.66%，显著低于亿田智能和万和电气。完整技术输入没有硬贴正向场景，只确认其位于量价背离对照组；ADX14仅13.65，说明入选依据是板块扩散、有效收盘和较低延伸，而不是所谓强趋势。,2026年一季度收入同比下降5.46%、归母净利润下降9.82%、扣非净利润下降17.47%，经营现金流同比下降124.67%。厨卫板块正贡献仍较多集中在封板股；若行动日不能继续体现多成员扩散，低延伸本身不能支持参与。,万和电气形成日封涨停且完整技术场景命中单日脉冲/透支假设，亿田智能形成日20%涨停并且20日已涨40.91%；老板电器绝对强度较弱，但非涨停、流动性和剩余路径更适合行动日观察。,,,,,,,selection,2026-08-31,8,available,-0.03225806451612878,0.008520998174071925,0.017650639074863195,-0.0346926354230066,-0.040434520217259906
formal:2026-08-20:600601.SH:selected,formal:2026-08-20:2026-08-21,2026-08-20,2026-08-21,2026-08-21T09:10:00+08:00,daily-research-trace-v1,1,600601.SH,方正科技,company_catalyst,2026年半年报显示收入37.00亿元（+72.89%）、归母净利润5.736亿元（+232.38%）、经营现金流5.118亿元，且PCB业务占主导，业务与增长传导直接。形成日仅涨0.16%、5日跌2.07%，而20日涨17.00%、60日仍跌5.52%，说明中期有识别但未处60日极端高位；20%目标约3.34倍ATR。行动日只在能正常参与且未出现明显跳空透支时保留命题。,元件行业5日等权下跌0.80%、宽度仅32.84%，缺少板块扩散；静态估值约60倍PE、10倍PB，且近20日已有一段涨幅，业绩增长如果不能延续将迅速压缩剩余空间。,相比同为电源设备报表增长候选的科泰电源，方正科技的利润和经营现金流绝对规模更大，20日价格识别也更强；科泰电源形成日和5日价格均下跌且估值更高。,forward-selection-log,True,2026年半年报显示收入37.00亿元（+72.89%）、归母净利润5.736亿元（+232.38%）、经营现金流5.118亿元，且PCB业务占主导，业务与增长传导直接。形成日仅涨0.16%、5日跌2.07%，而20日涨17.00%、60日仍跌5.52%，说明中期有识别但未处60日极端高位；20%目标约3.34倍ATR。行动日只在能正常参与且未出现明显跳空透支时保留命题。,元件行业5日等权下跌0.80%、宽度仅32.84%，缺少板块扩散；静态估值约60倍PE、10倍PB，且近20日已有一段涨幅，业绩增长如果不能延续将迅速压缩剩余空间。,相比同为电源设备报表增长候选的科泰电源，方正科技的利润和经营现金流绝对规模更大，20日价格识别也更强；科泰电源形成日和5日价格均下跌且估值更高。,,,,,,,selection,2026-08-31,7,available,0.04408163265306109,0.04408163265306109,0.059591836734693926,-0.09551020408163269,0.0
formal:2026-08-20:603993.SH:selected,formal:2026-08-20:2026-08-21,2026-08-20,2026-08-21,2026-08-21T09:10:00+08:00,daily-research-trace-v1,2,603993.SH,洛阳钼业,company_catalyst,2026年半年报显示收入1353.20亿元（+42.78%）、归母净利润161.52亿元（+86.27%）、经营现金流163.34亿元，增长与现金回收同向且绝对规模最强。形成日涨1.50%，但5日、20日仍跌0.76%和8.79%，60日位置0.305，静态PE约14倍，尚未出现价格透支；20%目标约4.25倍ATR。命题依赖强业绩对中低位价格的再定价，不依赖市场普涨。,营收中矿产贸易规模大但毛利贡献明显低于矿山采掘加工，业绩对铜钼等金属价格与产量的敏感度高；当前20日价格趋势仍向下，报表增长不必然立即转化为股价趋势。,相比北方稀土，洛阳钼业的归母净利润和经营现金流绝对规模更大、估值更低，形成日价格为正；北方稀土虽然增速更高，但形成日跌3.14%且行业5日宽度仅21.43%。,forward-selection-log,True,2026年半年报显示收入1353.20亿元（+42.78%）、归母净利润161.52亿元（+86.27%）、经营现金流163.34亿元，增长与现金回收同向且绝对规模最强。形成日涨1.50%，但5日、20日仍跌0.76%和8.79%，60日位置0.305，静态PE约14倍，尚未出现价格透支；20%目标约4.25倍ATR。命题依赖强业绩对中低位价格的再定价，不依赖市场普涨。,营收中矿产贸易规模大但毛利贡献明显低于矿山采掘加工，业绩对铜钼等金属价格与产量的敏感度高；当前20日价格趋势仍向下，报表增长不必然立即转化为股价趋势。,相比北方稀土，洛阳钼业的归母净利润和经营现金流绝对规模更大、估值更低，形成日价格为正；北方稀土虽然增速更高，但形成日跌3.14%且行业5日宽度仅21.43%。,,,,,,,selection,2026-08-31,7,available,0.036432843936922144,0.06525285481239806,0.08700380641653083,-0.011419249592169667,-0.027054619703930638
formal:2026-08-20:603969.SH:selected,formal:2026-08-20:2026-08-21,2026-08-20,2026-08-21,2026-08-21T09:10:00+08:00,daily-research-trace-v1,3,603969.SH,银龙股份,independent_price_anomaly,价格在20日下跌2.17%、60日下跌10.14%、60日位置0.309的低位，5日转为上涨2.85%并跑赢通用设备行业4.31个百分点，没有涨停贡献，符合初始激活而非高位追涨。2026年半年报进一步显示收入增7.96%、归母净利润增40.35%，经营现金流0.479亿元，上年同期接近零，为低位价格异常提供公司侧解释。,initial_activation只是暂定场景，5日价格增量仍小，对应20%目标需约5.09倍ATR；通用设备行业5日等权下跌1.46%、宽度仅32.38%，尚没有行业扩散配合。,相比中谷物流，银龙股份的行业比较完整，价格位置更低，且有同期利润和经营现金流改善作为独立支撑；中谷物流虽趋势更强，但行业比较受限且没有找到新公司增量。,forward-selection-log,True,价格在20日下跌2.17%、60日下跌10.14%、60日位置0.309的低位，5日转为上涨2.85%并跑赢通用设备行业4.31个百分点，没有涨停贡献，符合初始激活而非高位追涨。2026年半年报进一步显示收入增7.96%、归母净利润增40.35%，经营现金流0.479亿元，上年同期接近零，为低位价格异常提供公司侧解释。,initial_activation只是暂定场景，5日价格增量仍小，对应20%目标需约5.09倍ATR；通用设备行业5日等权下跌1.46%、宽度仅32.38%，尚没有行业扩散配合。,相比中谷物流，银龙股份的行业比较完整，价格位置更低，且有同期利润和经营现金流改善作为独立支撑；中谷物流虽趋势更强，但行业比较受限且没有找到新公司增量。,,,,,,,selection,2026-08-31,7,available,0.07927677329624472,0.07927677329624472,0.08762169680111254,-0.019471488178025242,0.0
formal:2026-08-20:600737.SH:selected,formal:2026-08-20:2026-08-21,2026-08-20,2026-08-21,2026-08-21T09:10:00+08:00,daily-research-trace-v1,4,600737.SH,中粮糖业,sector_diffusion,农产品加工行业5日等权上涨5.57%、宽度61.54%，20日等权上涨16.52%、宽度96.15%，不是少数股拉动。中粮糖业5日涨25.10%，超行业19.53个百分点，5日连续性1.0、量价效率0.882；涨停收益贡猦41.28%，但较新涨停后的非涨停日仍推进，故保留为有扩散支撑的趋势延续，而不是单日脉冲。,5日和20日已上涨25.10%和29.81%并处60日高位，20%目标仍需约3.91倍ATR；近期涨停贡猦使行动日跳空、再涨停或快速冲高回落的不可参与风险显著高于其他入选股。,相比道道全，中粮糖业的5日相对行业增量和连续性明显更强；道道全虽然无涨停贡献、延展较低，但半年归母净利润下降90.68%且经营现金流转负，独立增量不足。,forward-selection-log,True,农产品加工行业5日等权上涨5.57%、宽度61.54%，20日等权上涨16.52%、宽度96.15%，不是少数股拉动。中粮糖业5日涨25.10%，超行业19.53个百分点，5日连续性1.0、量价效率0.882；涨停收益贡猦41.28%，但较新涨停后的非涨停日仍推进，故保留为有扩散支撑的趋势延续，而不是单日脉冲。,5日和20日已上涨25.10%和29.81%并处60日高位，20%目标仍需约3.91倍ATR；近期涨停贡猦使行动日跳空、再涨停或快速冲高回落的不可参与风险显著高于其他入选股。,相比道道全，中粮糖业的5日相对行业增量和连续性明显更强；道道全虽然无涨停贡献、延展较低，但半年归母净利润下降90.68%且经营现金流转负，独立增量不足。,,,,,,,selection,2026-08-31,7,available,-0.0240103828682674,0.040233614536015816,0.07073329007138218,-0.07787151200519127,-0.06175920149719305
formal:2026-08-21:600583.SH:selected,formal:2026-08-21:2026-08-24,2026-08-21,2026-08-24,2026-08-23T09:05:02+08:00,daily-research-trace-v4,1,600583.SH,海油工程,sector_diffusion,油服工程形成四只领导股票的同步走强组合，海油工程是最强成员，价格、成交和半年报经营基础相互支持。,股价已接近60日高点，半年利润基本没有增长，若板块轮动结束会放大回撤。,相较洪通燃气，油服工程板块5日相对强度和成交份额增加更明显，海油工程半年利润稳定，而洪通燃气一季度利润明显下降。,forward-selection-log,True,油服工程形成四只领导股票的同步走强组合，海油工程是最强成员，价格、成交和半年报经营基础相互支持。,股价已接近60日高点，半年利润基本没有增长，若板块轮动结束会放大回撤。,相较洪通燃气，油服工程板块5日相对强度和成交份额增加更明显，海油工程半年利润稳定，而洪通燃气一季度利润明显下降。,,,,,,,selection,2026-08-31,6,available,0.026666666666666616,0.026666666666666616,0.0366666666666664,-0.018333333333333424,0.0
formal:2026-08-21:600980.SH:selected,formal:2026-08-21:2026-08-24,2026-08-21,2026-08-24,2026-08-23T09:05:02+08:00,daily-research-trace-v4,2,600980.SH,北矿科技,independent_price_anomaly,弱市场中温和跑赢市场和行业、成交同步增加，半年报收入利润增长且经营现金流为正，价格路径比快速拉升股更完整。,20日已经上涨18.88%，正式半年报只是此前业绩快报的确认，缺少新的公司催化。,相较尚太科技，北矿科技近期涨幅和成交放大更温和，半年利润增长、现金流为正；尚太科技利润下降且经营现金流大额流出。,forward-selection-log,True,弱市场中温和跑赢市场和行业、成交同步增加，半年报收入利润增长且经营现金流为正，价格路径比快速拉升股更完整。,20日已经上涨18.88%，正式半年报只是此前业绩快报的确认，缺少新的公司催化。,相较尚太科技，北矿科技近期涨幅和成交放大更温和，半年利润增长、现金流为正；尚太科技利润下降且经营现金流大额流出。,,,,,,,selection,2026-08-31,6,available,-0.008461921353907331,0.011946241911398703,0.018914883026381224,-0.024390243902438824,-0.02016724053123453
