episode_id,ts_code,name,action_date,review_date,day_number,checkpoint,review_origin,current_assessment,current_path,view_change,outlook_1_3d,tracking_decision,source_snapshot,source_monitor_report_if_any
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-08-21,1,D1,backfill,weakening,down,first_review,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-21.json,
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-08-21,1,D1,backfill,partly_supported,sideways,first_review,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-21.json,
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-08-24,1,D1,backfill,partly_supported,sideways,first_review,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-24.json,
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-08-24,1,D1,backfill,partly_supported,sideways,first_review,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-24.json,
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-08-24,2,,backfill,weakening,down,unchanged,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-24.json,
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-08-24,2,,backfill,weakening,down,weakened,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-24.json,
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-08-25,2,,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-25.json,
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-08-25,2,,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-25.json,
formal:2026-08-24:000690.SZ:selected,000690.SZ,宝新能源,2026-08-25,2026-08-25,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-25.json,
formal:2026-08-24:601998.SH:selected,601998.SH,中信银行,2026-08-25,2026-08-25,1,D1,copied_live_archive,partly_supported,sideways,first_review,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-25.json,local_archive/forward_monitor/monitor-report-2026-08-25.json
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-08-25,3,D3,copied_live_archive,contradicted,down,invalidated,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-25.json,local_archive/forward_monitor/monitor-report-2026-08-25.json
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-08-25,3,D3,copied_live_archive,supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-25.json,local_archive/forward_monitor/monitor-report-2026-08-25.json
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-08-26,3,D3,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-08-26,3,D3,backfill,weakening,sideways,weakened,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,
formal:2026-08-24:000690.SZ:selected,000690.SZ,宝新能源,2026-08-25,2026-08-26,2,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,
formal:2026-08-24:601998.SH:selected,601998.SH,中信银行,2026-08-25,2026-08-26,2,,copied_live_archive,partly_supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,local_archive/forward_monitor/monitor-report-2026-08-26.json
formal:2026-08-25:002274.SZ:selected,002274.SZ,华昌化工,2026-08-26,2026-08-26,1,D1,copied_live_archive,insufficient_evidence,not_evaluable,first_review,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,local_archive/forward_monitor/monitor-report-2026-08-26.json
formal:2026-08-25:300473.SZ:selected,300473.SZ,德尔股份,2026-08-26,2026-08-26,1,D1,copied_live_archive,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,local_archive/forward_monitor/monitor-report-2026-08-26.json
formal:2026-08-25:603408.SH:selected,603408.SH,建霖家居,2026-08-26,2026-08-26,1,D1,copied_live_archive,partly_supported,up,first_review,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,local_archive/forward_monitor/monitor-report-2026-08-26.json
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-08-26,4,,backfill,contradicted,down,unchanged,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-08-26,4,,copied_live_archive,insufficient_evidence,up,weakened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-26.json,local_archive/forward_monitor/monitor-report-2026-08-26.json
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-08-27,4,,backfill,partly_supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-08-27,4,,backfill,partly_supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
formal:2026-08-24:000690.SZ:selected,000690.SZ,宝新能源,2026-08-25,2026-08-27,3,D3,backfill,partly_supported,sideways,weakened,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
formal:2026-08-24:601998.SH:selected,601998.SH,中信银行,2026-08-25,2026-08-27,3,D3,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
formal:2026-08-25:002274.SZ:selected,002274.SZ,华昌化工,2026-08-26,2026-08-27,2,,copied_live_archive,insufficient_evidence,not_evaluable,unchanged,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,local_archive/forward_monitor/monitor-report-2026-08-27.json
formal:2026-08-25:300473.SZ:selected,300473.SZ,德尔股份,2026-08-26,2026-08-27,2,,copied_live_archive,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,local_archive/forward_monitor/monitor-report-2026-08-27.json
formal:2026-08-25:603408.SH:selected,603408.SH,建霖家居,2026-08-26,2026-08-27,2,,backfill,supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
formal:2026-08-26:300082.SZ:selected,300082.SZ,奥克股份,2026-08-27,2026-08-27,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
formal:2026-08-26:300107.SZ:selected,300107.SZ,建新股份,2026-08-27,2026-08-27,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
formal:2026-08-26:301289.SZ:selected,301289.SZ,国缆检测,2026-08-27,2026-08-27,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
