formation_date,winner_ts_code,winner_name,winner_type,winner_rejection_reason,winner_price_position,winner_prior_return,winner_relative_strength,winner_price_progress,selected_loser_ts_code,selected_loser_name,selected_reason,key_formation_date_difference,future_winner_first_hit_day,future_winner_max_return,future_selected_max_return,diagnosis
"2025-08-06","301110.SZ","青木科技","independent_price_anomaly","相对增量与斜率弱于当日更强异常；尚未真实突破；低位但强度不足。","60日40.7%；82日49.3%；低于此前高点21.9%","5日+8.4%；10日+7.9%；20日+5.7%","相对行业1/3/5日+2.5%/+3.2%/+6.4%；4/5日为正","5日内4日放量；形成日成交约2.05倍；推进效率3.5%；上影20%；回落0%；无涨停贡献","300750.SZ","宁德时代","收入、利润、现金流共同改善且位置不高；但5日相对电池行业为负；未来最高+17.0%。","青木的价格确认优于宁德；但强度中等且没有突破；同日P2顺络电子已经命中。",17,0.224943,0.170245,"合理落选；不属于稳定错杀：青木第17日才刚越过目标；形成日并未明显胜过当日已入选组合。"
"2025-09-03","300331.SZ","苏大维格","independent_price_anomaly","60日位置100%；5日累计强势很大且有上影；被认为缺少剩余路径。","60日100%；82日100%；突破此前高点11.0%","5日+29.0%；10日+33.5%；20日+43.0%","相对行业1/3/5日+12.7%/+28.3%/+31.7%；5/5日为正","5日全部放量；形成日成交约4.02倍；推进效率5.3%；上影40%；回落0%；无涨停贡献","","","同日唯一入选金逸影视也命中；未来最高+33.4%；不存在入选失败股可作严格替换。","苏大维格比金逸影视更高、更强；但拥有真实突破、连续超额且不依赖涨停；两者可同时成立。",10,0.306149,0.334486,"少选而非错换：高位被静态理解为透支；其绝对机会质量已接近入选层；但不能说金逸影视选错。"
"2025-09-03","300450.SZ","先导智能","company_catalyst","披露前已涨22.1%；披露后再涨23.8%；60日位置100%；被认为已经充分交易。","60日100%；82日100%；突破此前高点0.4%","5日+51.5%；10日+54.0%；20日+66.8%","相对行业1/3/5日+0.2%/+22.5%/+47.0%；5/5日为正","5日全部放量；形成日成交约3.96倍；推进效率6.5%；涨停贡献44.9%；收入、利润、现金流一致改善","","","同日唯一入选金逸影视也命中；未来最高+33.4%；不存在入选失败股可作严格替换。","先导形成日单日相对强势接近停顿；但公司结果完整；3/5日超额、成交和突破仍在。",2,0.514611,0.334486,"少选而非错换：前期涨幅很大是真实反证；但不应压过持续市场识别和完整公司增量。"
"2025-12-11","603127.SH","昭衍新药","independent_price_anomaly","上影60%；冲高回落40%；被认为价格推进反复、质量明显弱于旭光电子。","60日25.9%；82日25.9%；低于此前高点26.0%","5日+12.1%；10日+11.9%；20日-6.9%","相对行业1/3/5日+4.3%/+13.6%/+12.8%；4/5日为正","5日内3日放量；形成日成交约2.31倍；推进效率3.8%；上影60%；回落40%；无涨停贡献","600353.SH","旭光电子","旭光5日全部上涨、成交约4.04倍、上影回落更少、位置40.5%；被判断为更干净的早期路径。","昭衍位置反而更低；3日相对强度和相对斜率更强；旭光更连续、更平滑且成交推进效率更高。",15,0.349760,0.129854,"比较偏差：上影和回落被惩罚过重；昭衍至少应进入与旭光同层的最终比较；但不是毫无反证的必选股。"
"2025-12-11","300567.SZ","精测电子","company_catalyst","重大合同形成日前1日披露；但缺少合同金额及对公司体量的材料性；核心传导未知。","60日71.0%；82日76.5%；低于此前高点6.2%","5日+14.6%；10日+17.5%；20日+7.6%","相对行业1/3/5日+3.5%/+15.9%/+12.8%；3/5日为正","5日内3日放量；形成日成交约2.57倍；推进效率4.0%；上影20%；回落0%；无涨停贡献","600353.SH","旭光电子","旭光的独立价量链无需等待合同材料性补证；且价格路径更连续。","精测已有较强价格识别；但以公司催化命题入池时；合同材料性仍是不能用价格补写的关键未知。",15,0.433037,0.129854,"合理落选：未来上涨不能倒填合同材料性；本例不支持放宽公司因果边界。"
"2025-12-11","600118.SH","中国卫星","sector_diffusion","航天装备上涨面斜率转负且个股60日位置100%；被认为板块收窄、路径拥挤。","60日100%；82日100%；突破此前高点4.9%","5日+14.4%；10日+25.8%；20日+18.5%","相对行业1/3/5日+3.9%/+5.1%/+7.2%；4/5日为正；板块排名第一","5日全部放量；形成日成交约2.03倍；真实突破；无涨停贡献；板块上涨面66.7%；连续增强2日","600353.SH","旭光电子","旭光处于40.5%位置且走势平滑；但未突破。","中国卫星虽高位且有上影；已突破并有板块与排名双重确认；旭光主要优势是更低、更平滑。",7,1.217871,0.129854,"明确决策错杀：高位和板块斜率反证被放大；真实突破、板块第一、连续放量且非涨停主导应使其至少优于旭光。"
"2026-02-02","300444.SZ","双杰电气","company_catalyst","60日位置96.2%；事件后已涨16.6%且成交没有放大；被认为市场识别过快、剩余路径不足。","60日96.2%；82日96.9%；低于此前高点1.6%","5日+1.8%；10日+2.0%；20日+53.2%","相对行业1/3/5日+14.3%/+12.4%/+4.7%；2/5日为正；形成日明显再加速","仅1日放量；形成日成交约1.34倍；放量日价格推进很强；上影40%；回落40%；无涨停贡献","002780.SZ","三夫户外","三夫业绩增速更高、位置45.4%、事件后放量约3.46倍；被认为低位且确认更充分。","双杰位置高且成交确认弱；但形成日相对行业再加速、事件后价格识别明显；三夫更低更平滑却未形成同等推进。",19,0.219610,0.058465,"偏向决策错杀：三夫的低位放量带来安全感；但双杰的实际市场识别更强；高位不能单独使其输给三夫。"
"2026-02-02","601869.SH","长飞光纤","independent_price_anomaly","60日位置100%；5日相对行业约+30%；被认为高位且已经消耗路径。","60日100%；82日100%；突破此前高点6.6%","5日+28.4%；10日+34.9%；20日+38.0%","相对行业1/3/5日+8.8%/+19.5%/+30.0%；5/5日为正","5日全部放量；形成日成交约2.22倍；推进效率8.4%；上影20%；回落0%；涨停贡献38.6%","002780.SZ","三夫户外","三夫有公司催化、位置45.4%且事件后放量；但价格推进效率和相对强势均明显较弱。","长飞虽高位已涨；但同时具备真实突破、连续超额、持续放量和较干净收盘；三夫主要优势是低位与故事。",5,0.515125,0.058465,"明确决策错杀：长飞的高位是趋势确认而非单纯透支；形成日整体机会质量明显高于三夫。"
"2026-04-15","300911.SZ","亿田智能","independent_price_anomaly","只有2个上涨日；上影和冲高回落频率均60%；被认为价格质量反复、弱于广东宏大。","60日28.5%；82日28.5%；低于此前高点32.2%","5日+10.5%；10日+23.3%；20日-14.5%","相对行业1/3/5日+1.3%/+11.6%/+12.4%；4/5日为正","5日内2日放量；形成日成交约1.75倍；推进效率15.7%；上影60%；回落60%；无涨停贡献","002683.SZ","广东宏大","广东宏大4日上涨、上影回落更少、相对强势斜率更高；被认为路径更连续；未来最高-2.3%。","亿田位置更低、相对强度相近且放量后推进更高效；但日内价格质量显著更差。",17,0.203659,-0.022524,"边界案例：价格瑕疵可能被惩罚过重；但亿田仅第17日勉强达标；形成日并未稳定胜过广东宏大。"
"2026-05-11","301319.SZ","唯特偶","independent_price_anomaly","60日位置100%；上影60%；回落40%；累计超额很大；被判断为强势已消耗剩余路径。","60日100%；82日100%；突破此前高点10.6%","5日+51.1%；10日+44.6%；20日+121.8%","相对行业1/3/5日+6.6%/+25.7%/+40.2%；5/5日为正","5日内3日放量；形成日成交约1.98倍；推进效率16.3%；虽有上影回落但无涨停贡献","300520.SZ","科大国创","科大国创位置33.3%、5日全部上涨、成交激活且走势更干净；被认为仍是低位早期路径。","唯特偶比科大高且更波动；但相对强度约4倍、已真实突破、推进效率更高且不依赖涨停；科大只有低位更安全。",7,1.034987,0.031795,"明确决策错杀：把低位等同剩余空间、把高位等同透支；压过了唯特偶仍在扩张的真实趋势。"
