entity_name,gap_id,report_period,official_line_item,official_value_status,local_dataset,local_column,local_value_status,formula_input_role,mismatch_type,recommended_action,evidence_path,note_cn
英维克,B2G001,2026-06-30,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:3,024,421,650.79",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),基础风险项，始终输出。
英维克,B2G001,2026-06-30,合同资产,present,balance_sheet,contract_assets,"present:226,922,237.78",optional_positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),合并报表合同资产有值。
英维克,B2G001,2026-06-30,存货,present,balance_sheet,inventories,"present:1,552,295,823.53",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),基础风险项，始终输出。
英维克,B2G001,2026-06-30,合同负债,present,balance_sheet,contract_liab,"present:282,007,192.51",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),基础风险项，始终输出。
英维克,B2G001,2026-06-30,预收款项,not_separately_presented_in_consolidated_statement,balance_sheet,adv_receipts,null,optional_negative_component,official_blank_local_null,treat_as_optional_keep_unknown_unless_separately_presented,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),合并报表预收款项未单列；合同负债存在不能自动证明预收款不适用，母公司数值也不能混入合并口径。
英维克,B2G001,2026-06-30,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:61,871,999.03",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),基础现金风险项，不依赖综合强度。
英维克,B2G001,2026-06-30,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:2,977,483,077.38",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),销售回款基础项。
英维克,B2G001,2026-06-30,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:6,511,334,279.83",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/17fcad0a-0f8c-418b-94bd-f38c2a4b7cfb.PDF (资产负债表p38-39),TTM不是单张报表直接行项，按B1可比期间公式推导。
申菱环境,B2G003,2026-03-31,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:2,174,574,889.03",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),基础风险项，始终输出。
申菱环境,B2G003,2026-03-31,合同资产,present,balance_sheet,contract_assets,"present:188,354,169.32",optional_positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),正式年报合同资产有值；B2 Q1本地列也有值。
申菱环境,B2G003,2026-03-31,存货,present,balance_sheet,inventories,"present:1,292,142,323.62",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),基础风险项，始终输出。
申菱环境,B2G003,2026-03-31,合同负债,present,balance_sheet,contract_liab,"present:431,049,154.98",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),基础风险项，始终输出。
申菱环境,B2G003,2026-03-31,预收款项,prior_period_not_separately_presented,balance_sheet,adv_receipts,null,optional_negative_component,cross_period_semantics_local_null,treat_as_optional_keep_current_unknown,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),2025年报只支持列报语义；2026Q1本地null不能证明本期为零或不适用。
申菱环境,B2G003,2026-03-31,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:-193,352,472.74",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),基础现金风险项，不依赖综合强度。
申菱环境,B2G003,2026-03-31,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:914,197,140.72",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),销售回款基础项。
申菱环境,B2G003,2026-03-31,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:4,197,874,231.25",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/66d8c358-5299-4978-a3a2-327bf46dc1bc.PDF (资产负债表p74),TTM不是单张报表直接行项，按B1可比期间公式推导。
曙光数创,B2G005,2026-06-30,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:439,815,761.6",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),基础风险项，始终输出。
曙光数创,B2G005,2026-06-30,合同资产,noncurrent_contract_asset_present_19627634.07_current_line_blank,balance_sheet,contract_assets,null,optional_positive_component,official_noncurrent_detail_local_current_column_null,keep_partial_and_do_not_force_noncurrent_item_into_working_capital,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),不能写0；本地contract_assets未覆盖一年以上合同资产明细。
曙光数创,B2G005,2026-06-30,存货,present,balance_sheet,inventories,"present:868,882,778.86",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),基础风险项，始终输出。
曙光数创,B2G005,2026-06-30,合同负债,present,balance_sheet,contract_liab,"present:83,834,502.65",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),基础风险项，始终输出。
曙光数创,B2G005,2026-06-30,预收款项,not_separately_presented,balance_sheet,adv_receipts,null,optional_negative_component,official_blank_local_null,treat_as_optional_keep_unknown_unless_separately_presented,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),报告说明一年以内合同预收调整至合同负债列报，但合同负债存在不能自动证明预收款不适用。
曙光数创,B2G005,2026-06-30,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:-242,011,677.48",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),基础现金风险项，不依赖综合强度。
