event_key,formation_date,action_date,ts_code,name,trace_version,original_engine_type,original_engine_status,original_output_class,revised_output_class,primary_selection_logic_issue,revised_formation_day_decision,same_engine_comparator,decisive_support,decisive_counterevidence,action_condition_effect,early_outcome_used_only_for_evaluation,notes
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,000703.SZ,恒逸石化,legacy-selection-v1,sector_diffusion,not_available,legacy_v1_formal,legacy_v1_not_rewritten,缺少V4研究命题和生命周期字段,不事后重建并保留历史正式选择,恒力石化,逆市板块扩散与个股价量及利润增长同向,高位上涨且现金流和负债有反证,,样本末收盘+1.04%；最大收盘+7.66%；仅作评价,impact=legacy；旧记录不改写
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,601609.SH,金田股份,legacy-selection-v1,independent_price_anomaly,not_available,legacy_v1_formal,legacy_v1_not_rewritten,缺少V4研究命题和生命周期字段,不事后重建并保留历史正式选择,骏成科技,弱市相对强度与成交及有效收盘成立,短期已快涨且扣非利润和现金流走弱,,样本末收盘+5.14%；最大收盘+5.14%；仅作评价,impact=legacy；旧记录不改写
formal:2026-08-19:600408.SH:selected,2026-08-19,2026-08-20,600408.SH,安泰集团,legacy-selection-v1,sector_diffusion,not_available,legacy_v1_formal,legacy_v1_not_rewritten,缺少V4研究命题和生命周期字段,不事后重建并保留历史正式选择,宝泰隆,焦炭多成员扩散且个股未封板,半年预亏且板块可能是弱市轮动,,样本末收盘+8.77%；最大收盘+8.77%；仅作评价,impact=legacy；旧记录不改写
formal:2026-08-19:002508.SZ:selected,2026-08-19,2026-08-20,002508.SZ,老板电器,legacy-selection-v1,sector_diffusion,not_available,legacy_v1_formal,legacy_v1_not_rewritten,缺少V4研究命题和生命周期字段,不事后重建并保留历史正式选择,亿田智能,厨卫多成员上涨且个股非涨停成交有效,一季度收入利润现金流走弱且贡献偏集中,,样本末收盘-3.23%；最大收盘+0.85%；仅作评价,impact=legacy；旧记录不改写
formal:2026-08-20:600601.SH:selected,2026-08-20,2026-08-21,600601.SH,方正科技,daily-research-trace-v1,company_catalyst,not_available,legacy_v1_formal,legacy_v1_not_rewritten,V1无法无损映射V4发动机和确认生命周期,不事后重建并保留历史正式选择,科泰电源,半年收入利润现金流改善且主营联系直接,行业扩散弱且估值高并已有价格识别,,样本末收盘+4.41%；最大收盘+4.41%；仅作评价,impact=legacy；V1不重建
formal:2026-08-20:603993.SH:selected,2026-08-20,2026-08-21,603993.SH,洛阳钼业,daily-research-trace-v1,company_catalyst,not_available,legacy_v1_formal,legacy_v1_not_rewritten,V1无法无损映射V4发动机和确认生命周期,不事后重建并保留历史正式选择,北方稀土,半年利润现金流规模强且估值较低,20日趋势向下且经营对商品价格敏感,,样本末收盘+3.64%；最大收盘+6.53%；仅作评价,impact=legacy；V1不重建
formal:2026-08-20:603969.SH:selected,2026-08-20,2026-08-21,603969.SH,银龙股份,daily-research-trace-v1,independent_price_anomaly,not_available,legacy_v1_formal,legacy_v1_not_rewritten,V1无法无损映射V4发动机和确认生命周期,不事后重建并保留历史正式选择,中谷物流,低位多日激活并有利润和现金流改善,5日价格增量小且行业扩散缺失,,样本末收盘+7.93%；最大收盘+7.93%；仅作评价,impact=legacy；V1不重建
formal:2026-08-20:600737.SH:selected,2026-08-20,2026-08-21,600737.SH,中粮糖业,daily-research-trace-v1,sector_diffusion,not_available,legacy_v1_formal,legacy_v1_not_rewritten,V1无法无损映射V4发动机和确认生命周期,不事后重建并保留历史正式选择,道道全,板块广泛扩散且个股连续性和相对增量强,个股快涨且涨停贡献增加不可参与风险,,样本末收盘-2.40%；最大收盘+4.02%；仅作评价,impact=legacy；V1不重建
formal:2026-08-21:600583.SH:selected,2026-08-21,2026-08-24,600583.SH,海油工程,daily-research-trace-v4,sector_leader_cluster,active,historical_formal_selected,confirmed_active,需更直接回答组内价格接受对比,维持active且不改原优先级和行动条件,洪通燃气,油服领导组增强且个股居最强并经营稳定,接近60日高点且洪通成交接受更强,,样本末收盘+2.67%；洪通同期约+13.43%；仅作评价,impact=unchanged；不以未来倒推
formal:2026-08-21:600980.SH:selected,2026-08-21,2026-08-24,600980.SH,北矿科技,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,半年报是确认而不是新增催化,维持active；温和多日强势与成交及经营锚成立,尚太科技,弱市持续跑赢且成交增加并未快速透支,20日已涨18.88%且报告缺乏新增性,,样本末收盘-0.85%；最大收盘+1.19%；仅作评价,impact=unchanged；保持原判
formal:2026-08-24:000690.SZ:selected,2026-08-24,2026-08-25,000690.SZ,宝新能源,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,rejected_by_revised_logic,形成日占5日涨幅约84%且比较后未绝对停止,rejected；多日需求未充分确认且不以剩余最好补位,永新股份,相对超额与2.27倍成交及高收盘效率真实,涨幅高度集中且经营增量弱并缺少承接,,样本末收盘-0.81%；永新同期约+3.94%；仅作评价,impact=classification；历史正式选择改为拒绝
formal:2026-08-24:601998.SH:selected,2026-08-24,2026-08-25,601998.SH,中信银行,daily-research-trace-v4,sector_broad_diffusion,active,historical_formal_selected,confirmed_active,小样本高位和轮动风险须落到行动条件,维持active；条件改为板块广度不缩且放量仍有效收盘,渝农商行,股份制银行全上涨且成交份额和个股强度更优,短期涨约11%且位于60日高点,,样本末收盘+3.15%；仅作评价,impact=priority_or_condition；收紧双重承接
formal:2026-08-25:002366.SZ:selected,2026-08-25,2026-08-26,002366.SZ,融发核电,daily-research-trace-v4,fresh_event_pending,conditional,historical_formal_selected,conditional_event,真实事件被等同于已有价格确认并默认开盘参与,conditional事件线索；条件满足后只能形成新active trace,艾可蓝,2.0052亿元中标通知与核电装备主营直接,尚未签约且半年预亏并无事件后完整交易日,not_met,首日开收到收盘零推进且成交约1.07倍；D4较开盘-1.92%,impact=classification；无正式入口和收益
formal:2026-08-25:002274.SZ:selected,2026-08-25,2026-08-26,002274.SZ,华昌化工,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,既有预告确认不能重复当新增催化,维持active；多日强势与成交及突破成立,同飞股份,确认分布多日且3.53倍成交有效并有经营锚,财务增量已披露且高位成交衰减是风险,,样本内无可靠入口；不计算正式收益,impact=unchanged；无入口不否定形成日
formal:2026-08-25:603408.SH:selected,2026-08-25,2026-08-26,603408.SH,建霖家居,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,价格成立但利润反证须保留到最终理由,维持active；连续路径与成交及无涨停突破成立,同飞股份,多日效率高且单日集中更低并有剩余路径,一季度利润和经营现金流走弱,,样本末收盘+3.42%；仅作评价,impact=unchanged；保持原判
formal:2026-08-25:300473.SZ:selected,2026-08-25,2026-08-26,300473.SZ,德尔股份,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,近邻单日脉冲和剩余路径须成为明确依据,维持active；多日强度与成交及无涨停路径成立,同飞股份,多日推进且不依赖涨停并有经营改善,近期涨幅集中在3日且同行跟随未知,,样本末收盘+12.14%；同飞同期约+18.21%；仅作评价,impact=unchanged；不以未来倒推
formal:2026-08-26:300107.SZ:selected,2026-08-26,2026-08-27,300107.SZ,建新股份,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,最近一日贡献较高且原条件未要求后续有效收盘,维持active；条件改为成交正常化后仍跑赢并有效收盘,国缆检测,多窗口为正且3.32倍成交和突破及现金流成立,贡献较集中且到60日高点并有低基数风险,,样本末收盘+2.50%；仅作评价,impact=priority_or_condition；增加承接条件
formal:2026-08-26:301289.SZ:selected,2026-08-26,2026-08-27,301289.SZ,国缆检测,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,5.16倍成交不能替代高成交后的继续推进,维持active；条件改为成交正常化后强度和有效收盘仍在,建新股份,多日跑赢且成交确认强并有正现金流,形成日涨幅与成交集中且放量不进会失效,,样本末收盘-2.43%；最大收盘+1.26%；仅作评价,impact=priority_or_condition；增加承接条件
formal:2026-08-26:300082.SZ:selected,2026-08-26,2026-08-27,300082.SZ,奥克股份,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,快涨和负现金流及成交降温未产生取舍后果,维持active但降低组内优先级并要求正常承接,建新股份,多日强势与4.34倍成交及高效率无涨停成立,5日已涨18.40%且经营现金流为负,,样本末收盘-3.07%；仅作评价,impact=priority_or_condition；降优先级并收紧条件
formal:2026-08-26:603993.SH:selected,2026-08-26,2026-08-27,603993.SH,洛阳钼业,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,rejected_by_revised_logic,形成日涨幅大于3日累计且第4只存在补位,rejected；无法证明多个有效收盘后应停止增加名单,奥克股份,20日涨幅低且半年经营锚强并有流动性,短期确认单日化且效率弱于前三只,,样本末收盘-0.88%；最大收盘+1.46%；仅作评价,impact=classification；历史第4只改为拒绝
formal:2026-08-27:003816.SZ:selected,2026-08-27,2026-08-28,003816.SZ,中国广核,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,低20日涨幅不能覆盖经营下滑反证,维持active；多日强势与成交及组合余量成立,金岭矿业,多日跑赢且成交有效并且20日几乎未涨,一季度收入和利润下降且无经营增量,,样本末收盘+2.40%；仅作评价,impact=unchanged；保持原判
formal:2026-08-27:000655.SZ:selected,2026-08-27,2026-08-28,000655.SZ,金岭矿业,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,ATR距离不能单独证明高位突破后的空间,维持active；条件改为不跌回突破区且成交仍推进收盘,中国广核,无涨停的60日突破与连续强势及成交效率成立,一季度利润下降且位于60日高点,,样本末收盘-0.68%；最大收盘+2.44%；仅作评价,impact=priority_or_condition；增加突破承接
formal:2026-08-27:000801.SZ:selected,2026-08-27,2026-08-28,000801.SZ,四川九洲,daily-research-trace-v4,sector_broad_diffusion,active,historical_formal_selected,confirmed_active,小样本集中度使板块成立不能替代股票连续性,维持active；条件改为广度不缩且个股跑赢行业并有效收盘,盾安环境,行业多日广泛上涨且个股领先并有价量确认,仅9只且前三贡献72.09%并有利润下降,,样本末收盘+5.63%；仅作评价,impact=priority_or_condition；增加双层确认
formal:2026-08-27:000513.SZ:selected,2026-08-27,2026-08-28,000513.SZ,丽珠集团,daily-research-trace-v4,fresh_event_pending,conditional,historical_formal_selected,conditional_event,监管里程碑真实但无事件后价格接受,conditional事件线索；条件满足后只能形成新active trace,威海广泰,国产首个双靶点制剂获批且阶段清晰,公告前5日跌14.15%且商业化和接受未知,unknown,首日仅涨约0.15%且成交约1.04倍；观察不足,impact=classification；无正式入口和收益
formal:2026-08-27:301085.SZ:selected,2026-08-27,2026-08-28,301085.SZ,亚康股份,daily-research-trace-v4,fresh_event_pending,conditional,historical_formal_selected,conditional_event,长周期匿名客户合同无事件后价格确认却默认参与,conditional事件线索；条件满足后只能形成新active trace,粤万年青,合同规模大且与IT运维主营直接并月度预付,客户匿名且履约长并仍亏损及前置成交低,not_met,首日开收到收盘-2.82%；后续最大不利约7.67%,impact=classification；无正式入口和收益
formal:2026-08-28:002430.SZ:selected,2026-08-28,2026-08-31,002430.SZ,杭氧股份,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,近邻比较须以多日路径对单日跳升为决定因素,维持active；多日强势与成交和经营锚成立,伯特利,多日连续且3.21倍成交有效并有当期增长,5日已涨12.64%且现金流小幅下降,,样本末收盘+3.66%；仅作评价,impact=unchanged；保持原判
formal:2026-08-28:300910.SZ:selected,2026-08-28,2026-08-31,300910.SZ,瑞丰新材,daily-research-trace-v4,sector_broad_diffusion,active,historical_formal_selected,confirmed_active,行业扩散不能覆盖个股快涨和利润下降,维持active；条件改为行业覆盖不缩且成交继续推动收盘,三峡新材,大样本扩散且贡献分散并且个股价量确认,个股5日涨14.35%且一季度利润下降,,样本末收盘+1.28%；仅作评价,impact=priority_or_condition；增加双层确认
formal:2026-08-28:600150.SH:selected,2026-08-28,2026-08-31,600150.SH,中国船舶,daily-research-trace-v4,fresh_event_pending,conditional,historical_formal_selected,conditional_event,生效大合同无价格观察却默认行动日开盘为入口,conditional事件线索；条件满足后只能形成新active trace,吉峰科技,合同生效且金额明确并与主营直接,远期交付且当期利润影响不重大并无价格接受,not_met,首日收跌约2.07%且跑输市场和行业,impact=classification；无正式入口和收益
formal:2026-08-28:000928.SZ:selected,2026-08-28,2026-08-31,000928.SZ,中钢国际,daily-research-trace-v4,independent_demand_acceleration,active,historical_formal_selected,confirmed_active,低位置和ATR距离不能自动产生第4只,维持active但列为名单停止边界且不再补位,伯特利,多窗口为正且2.24倍成交有效并且20日涨幅低,半年收入和利润下降并缺少经营增量,,样本末收盘+2.62%；仅作评价,impact=priority_or_condition；明确最低优先级和停止
