trial_id,case_id,group,arm,repetition,code_commit,model,effort,status,fidelity_result,readability_result,old_combined_result,reference_label_source,revision_count,request_count,duration_seconds,article_path,reader_review_path,fidelity_review_path,failure_reason
N-D1,D1,N,not_applicable,1,17ad21b5d0a5afff5d5813d95f689631625c5278,gpt-6-astra,xhigh,completed,not_run,not_run,not_applicable,unconfirmed,not_applicable,1,513.155,not_run,not_run,not_run,none
N-H1,H1,N,not_applicable,1,17ad21b5d0a5afff5d5813d95f689631625c5278;0ffeae19d8829505e685fbb4da63161142b122dd,gpt-6-astra,xhigh,completed,not_run,not_run,not_applicable,unconfirmed,not_applicable,2,381.95,not_run,not_run,not_run,none
N-H2,H2,N,not_applicable,1,0ffeae19d8829505e685fbb4da63161142b122dd,gpt-6-astra,xhigh,completed,not_run,not_run,not_applicable,unconfirmed,not_applicable,1,256.738,not_run,not_run,not_run,none
N-H3,H3,N,not_applicable,1,0ffeae19d8829505e685fbb4da63161142b122dd,gpt-6-astra,xhigh,failed,not_run,not_run,not_applicable,unconfirmed,not_applicable,1,328.111,not_run,not_run,not_run,ValueError: Historical meaning needs research resolution; no trial interpretation is invented: [
A1,D1,A,old,1,0ffeae19d8829505e685fbb4da63161142b122dd;dd33e77bb2e9dae28a62c49d133d5554240669e3,gpt-6-astra,xhigh,failed,failed,failed,not_applicable,unconfirmed,0,3,787.95,trials/A1/article.md,trials/A1/stages/reader-300398-SZ-files-1/output/review-result.json,trials/A1/stages/review-300398-SZ-files-1/output/review-result.json,needs_revision
A2,D1,A,current,1,0ffeae19d8829505e685fbb4da63161142b122dd;dd33e77bb2e9dae28a62c49d133d5554240669e3,gpt-6-astra,xhigh,failed,passed,failed,not_applicable,unconfirmed,0,4,774.126,trials/A2/article.md,trials/A2/stages/reader-300398-SZ-files-1/output/review-result.json,trials/A2/stages/review-300398-SZ-files-1/output/review-result.json,needs_revision
A3,D1,A,current,2,dd33e77bb2e9dae28a62c49d133d5554240669e3,gpt-6-astra,xhigh,failed,passed,failed,not_applicable,unconfirmed,0,3,726.833,trials/A3/article.md,trials/A3/stages/reader-300398-SZ-files-1/output/review-result.json,trials/A3/stages/review-300398-SZ-files-1/output/review-result.json,needs_revision
A4,D1,A,old,2,dd33e77bb2e9dae28a62c49d133d5554240669e3,gpt-6-astra,xhigh,failed,failed,passed,not_applicable,unconfirmed,0,3,863.0,trials/A4/article.md,trials/A4/stages/reader-300398-SZ-files-1/output/review-result.json,trials/A4/stages/review-300398-SZ-files-1/output/review-result.json,needs_revision
B1,D2,B,old,1,dd33e77bb2e9dae28a62c49d133d5554240669e3,gpt-6-astra,xhigh,failed,failed,failed,not_applicable,unconfirmed,1,3,694.34,trials/B1/article.md,trials/B1/stages/reader-300398-SZ-files-1/output/review-result.json,trials/B1/stages/review-300398-SZ-files-1/output/review-result.json,needs_revision
B2,D2,B,current,1,dd33e77bb2e9dae28a62c49d133d5554240669e3;066129e1641c4d1fc55fbb3568527a6f88e35525,gpt-6-astra,xhigh,failed,passed,failed,not_applicable,unconfirmed,1,4,686.196,trials/B2/article.md,trials/B2/stages/reader-300398-SZ-files-1/output/review-result.json,trials/B2/stages/review-300398-SZ-files-1/output/review-result.json,needs_revision
B3,D2,B,current,2,066129e1641c4d1fc55fbb3568527a6f88e35525,gpt-6-astra,xhigh,failed,passed,failed,not_applicable,unconfirmed,1,3,682.668,trials/B3/article.md,trials/B3/stages/reader-300398-SZ-files-1/output/review-result.json,trials/B3/stages/review-300398-SZ-files-1/output/review-result.json,needs_revision
